id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
"9001";"1064";PIAZZA VENTICINQUE APRILE;;urbana;promiscuo pedoni;attraversamento;bidirezionale;attraversamento - generico;"8";9.1870305186785;45.4809876471498;"(45.4809876471498, 9.1870305186785)"
"9002";"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"7";9.24194464907128;45.4392715546864;"(45.4392715546864, 9.24194464907128)"
"9003";"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"8";9.23995617266987;45.4400199268851;"(45.4400199268851, 9.23995617266987)"
"9004";"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"5";9.23918713129895;45.442769857648;"(45.442769857648, 9.23918713129895)"
"9005";"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"3";9.23998716620631;45.4400362237505;"(45.4400362237505, 9.23998716620631)"
"9006";"1360";VIALE MARCHE;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"18";9.1976842242398;45.4948586428903;"(45.4948586428903, 9.1976842242398)"
"9009";"4068";CORSO LODI;;urbana;promiscuo veicoli;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;"297";9.2048372915339;45.4507560352345;"(45.4507560352345, 9.2048372915339)"
"9011";"1";PIAZZA DEL DUOMO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"69";9.19183109840918;45.464714436939;"(45.464714436939, 9.19183109840918)"
"9012";"1";PIAZZA DEL DUOMO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"109";9.1906929346428;45.464701891425;"(45.464701891425, 9.1906929346428)"
"9013";"5144";ALZAIA NAVIGLIO GRANDE;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"31";9.16836622631264;45.450564438617;"(45.450564438617, 9.16836622631264)"
"9014";"1414";VIA TOFANE;;urbana;promiscuo veicoli;carreggiata;bidirezionale;FACILITAZIONE - divieto di transito ecc. bici;"33";9.22174169870529;45.503530305379;"(45.503530305379, 9.22174169870529)"
"9015";"2129";CORSO BUENOS AIRES;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"172";9.20633204495567;45.4752866869338;"(45.4752866869338, 9.20633204495567)"
"9017";"214";CORSO VITTORIO EMANUELE II;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"43";9.19715932665247;45.4660557678451;"(45.4660557678451, 9.19715932665247)"
"9018";"214";CORSO VITTORIO EMANUELE II;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"62";9.19617140116171;45.4656455250109;"(45.4656455250109, 9.19617140116171)"
"9020";"214";CORSO VITTORIO EMANUELE II;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"51";9.19307276484075;45.4647511884658;"(45.4647511884658, 9.19307276484075)"
"9021";"1";PIAZZA DEL DUOMO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"39";9.19252073063398;45.464689696635;"(45.464689696635, 9.19252073063398)"
"9022";"214";CORSO VITTORIO EMANUELE II;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"70";9.19540905353714;45.4653966008668;"(45.4653966008668, 9.19540905353714)"
"9023";"1";PIAZZA DEL DUOMO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"114";9.18926674461585;45.4646813514291;"(45.4646813514291, 9.18926674461585)"
